Fecha,Usuario,Jornada,Horario,Almuerzo,Descanso
02/01/2026,jballis,Centro De Contacto,07:00:00,12:20:00,09:35:00
02/01/2026,gorodriguez,Centro De Contacto,07:00:00,12:20:00,09:35:00
02/01/2026,mereyes,Centro De Contacto,07:00:00,12:20:00,09:35:00
02/01/2026,noregonzalez,Centro De Contacto,07:00:00,12:30:00,09:15:00
02/01/2026,kdominguez,Licencia,07:00:00,12:30:00,09:15:00
02/01/2026,Cvillaverde,Centro De Contacto,07:00:00,12:30:00,09:15:00
02/01/2026,Jearrocha,Traslado,07:00:00,12:30:00,09:15:00
02/01/2026,Jpile,Centro De Contacto,07:00:00,12:30:00,09:15:00
02/01/2026,erphillips,Centro De Contacto,07:00:00,12:30:00,09:15:00
02/01/2026,rmontero,Centro De Contacto,07:00:00,12:30:00,09:15:00
02/01/2026,vimoran,Centro De Contacto,07:00:00,12:30:00,09:15:00
02/01/2026,vedelacruz,Centro De Contacto,07:00:00,12:30:00,09:15:00
02/01/2026,Jingonzalez,Centro De Contacto,07:00:00,12:30:00,09:15:00
02/01/2026,scoke,Centro De Contacto,07:00:00,12:30:00,09:15:00
02/01/2026,lizisaza,Centro De Contacto,09:00:00,13:10:00,10:05:00
02/01/2026,raycastillero,Centro De Contacto,09:00:00,13:10:00,10:05:00
02/01/2026,cacollado,Centro De Contacto,09:00:00,13:10:00,10:05:00
02/01/2026,meljaramillo,Centro De Contacto,09:00:00,13:10:00,10:05:00
02/01/2026,vplicett,Centro De Contacto,09:00:00,13:10:00,10:05:00
02/01/2026,danitbatista,Vacaciones,09:00:00,13:10:00,10:05:00
02/01/2026,yarmunoz,Centro De Contacto,09:00:00,13:10:00,10:25:00
02/01/2026,siolivares,Centro De Contacto,09:00:00,13:10:00,10:25:00
02/01/2026,xaviles,Centro De Contacto,09:00:00,13:10:00,10:25:00
02/01/2026,inggomez,Centro De Contacto,09:00:00,13:10:00,10:25:00
02/01/2026,Bramirez,Centro De Contacto,09:00:00,13:10:00,10:25:00
02/01/2026,dancedeno,Vacaciones,06:00:00,12:00:00,08:00:00
02/01/2026,kbennett,Centro De Contacto,06:00:00,11:00:00,07:15:00
02/01/2026,locerrud,Centro De Contacto,06:00:00,11:00:00,07:30:00
02/01/2026,ariasanchez,Vacaciones,06:00:00,11:45:00,07:00:00
02/01/2026,avelez,Centro De Contacto,06:00:00,11:45:00,08:15:00
02/01/2026,rolaguilar,Centro De Contacto,09:00:00,13:00:00,10:30:00
02/01/2026,yacastro,Centro De Contacto,09:00:00,13:00:00,10:30:00
02/01/2026,ypineda,Centro De Contacto,09:00:00,13:00:00,10:45:00
02/01/2026,cacedeno,Licencia,09:00:00,13:00:00,10:45:00
02/01/2026,maryherrera,Centro De Contacto,09:00:00,13:00:00,11:00:00
05/01/2026,Zestrada,Centro De Contacto,06:00:00,11:00:00,07:45:00
05/01/2026,aigraell,Centro De Contacto,06:00:00,11:00:00,07:45:00
05/01/2026,gman,Centro De Contacto,06:00:00,11:00:00,07:45:00
05/01/2026,genemoreno,Centro De Contacto,06:00:00,11:00:00,07:45:00
05/01/2026,lilmoreno,Vacaciones,06:00:00,11:00:00,07:45:00
05/01/2026,Yavallejos,Centro De Contacto,06:00:00,11:00:00,07:45:00
05/01/2026,gaflores,Centro De Contacto,06:00:00,11:00:00,07:45:00
05/01/2026,ivnunez,Centro De Contacto,06:00:00,11:00:00,07:45:00
05/01/2026,Melmartinez,Centro De Contacto,06:00:00,11:00:00,07:45:00
05/01/2026,glchanis,Centro De Contacto,06:00:00,11:00:00,07:45:00
05/01/2026,irisgomez,Licencia,06:00:00,11:00:00,07:45:00
05/01/2026,noregonzalez,Centro De Contacto,06:00:00,11:35:00,08:05:00
05/01/2026,kdominguez,Licencia,06:00:00,11:35:00,08:05:00
05/01/2026,Cvillaverde,Centro De Contacto,06:00:00,11:35:00,08:05:00
05/01/2026,Jearrocha,Traslado,06:00:00,11:35:00,08:05:00
05/01/2026,Jpile,Centro De Contacto,06:00:00,11:35:00,08:05:00
05/01/2026,erphillips,Centro De Contacto,06:00:00,11:35:00,08:05:00
05/01/2026,rmontero,Centro De Contacto,06:00:00,11:35:00,08:05:00
05/01/2026,vimoran,Centro De Contacto,06:00:00,11:35:00,08:05:00
05/01/2026,vedelacruz,Centro De Contacto,06:00:00,11:35:00,08:05:00
05/01/2026,Jingonzalez,Centro De Contacto,06:00:00,11:35:00,08:05:00
05/01/2026,scoke,Centro De Contacto,06:00:00,11:35:00,08:05:00
05/01/2026,Yulrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
05/01/2026,lijuarez,Centro De Contacto,06:00:00,11:45:00,08:25:00
05/01/2026,sarrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
05/01/2026,gisssanchez,Centro De Contacto,06:00:00,11:45:00,08:25:00
05/01/2026,Rubmorales,Vacaciones,06:00:00,11:45:00,08:25:00
05/01/2026,ensandoval,Centro De Contacto,06:00:00,11:45:00,08:25:00
05/01/2026,Ztrejos,Centro De Contacto,06:00:00,11:45:00,08:25:00
05/01/2026,girgonzalez,Centro De Contacto,06:00:00,11:45:00,08:25:00
05/01/2026,arenteria,Centro De Contacto,06:00:00,11:45:00,08:25:00
05/01/2026,julcorrea,Incapacidad Extendida,06:00:00,11:45:00,08:25:00
05/01/2026,lizisaza,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,raycastillero,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,cacollado,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,meljaramillo,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,vplicett,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,danitbatista,Vacaciones,07:00:00,12:25:00,09:15:00
05/01/2026,yarmunoz,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,siolivares,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,xaviles,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,inggomez,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,Bramirez,Centro De Contacto,07:00:00,12:25:00,09:15:00
05/01/2026,yamilgonzalez,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,conavarro,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,Gcoronado,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,dmolino,Vacaciones,09:00:00,13:00:00,10:30:00
05/01/2026,yetienne,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,Nlondono,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,rossantamaria,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,tpolo,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,novilla,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,lmartinez,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,celirodriguez,Vacaciones,09:00:00,13:10:00,10:05:00
05/01/2026,mlorenzo,Vacaciones,09:00:00,13:10:00,10:05:00
05/01/2026,luiquijada,Centro De Contacto,09:00:00,13:10:00,10:05:00
05/01/2026,kdurango,Centro De Contacto,09:00:00,13:10:00,10:05:00
05/01/2026,jbrugiatti,Centro De Contacto,09:00:00,13:10:00,10:05:00
05/01/2026,Eshernandez,Centro De Contacto,09:00:00,13:10:00,10:25:00
05/01/2026,mnoval,Centro De Contacto,09:00:00,13:10:00,10:25:00
05/01/2026,jballis,Centro De Contacto,09:00:00,13:10:00,10:25:00
05/01/2026,gorodriguez,Centro De Contacto,09:00:00,13:10:00,10:25:00
05/01/2026,mereyes,Centro De Contacto,09:00:00,13:10:00,10:25:00
05/01/2026,dancedeno,Vacaciones,06:00:00,12:00:00,08:00:00
05/01/2026,ypineda,Centro De Contacto,06:00:00,11:00:00,07:15:00
05/01/2026,yacastro,Centro De Contacto,06:00:00,11:00:00,07:30:00
05/01/2026,rolaguilar,Centro De Contacto,06:00:00,11:45:00,07:00:00
05/01/2026,ariasanchez,Vacaciones,06:00:00,11:45:00,08:15:00
05/01/2026,kbennett,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,locerrud,Centro De Contacto,09:00:00,13:00:00,10:30:00
05/01/2026,avelez,Centro De Contacto,09:00:00,13:00:00,10:45:00
05/01/2026,cacedeno,Licencia,09:00:00,13:00:00,10:45:00
05/01/2026,maryherrera,Centro De Contacto,09:00:00,13:00:00,11:00:00
06/01/2026,Zestrada,Centro De Contacto,06:00:00,11:00:00,07:45:00
06/01/2026,aigraell,Centro De Contacto,06:00:00,11:00:00,07:45:00
06/01/2026,gman,Centro De Contacto,06:00:00,11:00:00,07:45:00
06/01/2026,genemoreno,Centro De Contacto,06:00:00,11:00:00,07:45:00
06/01/2026,lilmoreno,Vacaciones,06:00:00,11:00:00,07:45:00
06/01/2026,Yavallejos,Centro De Contacto,06:00:00,11:00:00,07:45:00
06/01/2026,gaflores,Centro De Contacto,06:00:00,11:00:00,07:45:00
06/01/2026,ivnunez,Centro De Contacto,06:00:00,11:00:00,07:45:00
06/01/2026,Melmartinez,Centro De Contacto,06:00:00,11:00:00,07:45:00
06/01/2026,glchanis,Centro De Contacto,06:00:00,11:00:00,07:45:00
06/01/2026,irisgomez,Licencia,06:00:00,11:00:00,07:45:00
06/01/2026,noregonzalez,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,kdominguez,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,Cvillaverde,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,Jearrocha,Traslado,06:00:00,11:35:00,08:05:00
06/01/2026,Jpile,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,erphillips,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,rmontero,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,vimoran,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,vedelacruz,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,Jingonzalez,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,scoke,Centro De Contacto,06:00:00,11:35:00,08:05:00
06/01/2026,Yulrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
06/01/2026,lijuarez,Centro De Contacto,06:00:00,11:45:00,08:25:00
06/01/2026,sarrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
06/01/2026,gisssanchez,Centro De Contacto,06:00:00,11:45:00,08:25:00
06/01/2026,Rubmorales,Vacaciones,06:00:00,11:45:00,08:25:00
06/01/2026,ensandoval,Centro De Contacto,06:00:00,11:45:00,08:25:00
06/01/2026,Ztrejos,Centro De Contacto,06:00:00,11:45:00,08:25:00
06/01/2026,girgonzalez,Centro De Contacto,06:00:00,11:45:00,08:25:00
06/01/2026,arenteria,Centro De Contacto,06:00:00,11:45:00,08:25:00
06/01/2026,julcorrea,Incapacidad Extendida,06:00:00,11:45:00,08:25:00
06/01/2026,lizisaza,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,raycastillero,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,cacollado,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,meljaramillo,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,vplicett,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,danitbatista,Vacaciones,07:00:00,12:25:00,09:15:00
06/01/2026,yarmunoz,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,siolivares,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,xaviles,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,inggomez,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,Bramirez,Centro De Contacto,07:00:00,12:25:00,09:15:00
06/01/2026,yamilgonzalez,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,conavarro,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,Gcoronado,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,dmolino,Vacaciones,09:00:00,13:00:00,10:30:00
06/01/2026,yetienne,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,Nlondono,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,rossantamaria,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,tpolo,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,novilla,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,lmartinez,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,celirodriguez,Vacaciones,09:00:00,13:10:00,10:05:00
06/01/2026,mlorenzo,Vacaciones,09:00:00,13:10:00,10:05:00
06/01/2026,luiquijada,Centro De Contacto,09:00:00,13:10:00,10:05:00
06/01/2026,kdurango,Centro De Contacto,09:00:00,13:10:00,10:05:00
06/01/2026,jbrugiatti,Centro De Contacto,09:00:00,13:10:00,10:05:00
06/01/2026,Eshernandez,Centro De Contacto,09:00:00,13:10:00,10:25:00
06/01/2026,mnoval,Centro De Contacto,09:00:00,13:10:00,10:25:00
06/01/2026,jballis,Centro De Contacto,09:00:00,13:10:00,10:25:00
06/01/2026,gorodriguez,Centro De Contacto,09:00:00,13:10:00,10:25:00
06/01/2026,mereyes,Centro De Contacto,09:00:00,13:10:00,10:25:00
06/01/2026,dancedeno,Vacaciones,06:00:00,12:00:00,08:00:00
06/01/2026,ypineda,Centro De Contacto,06:00:00,11:00:00,07:15:00
06/01/2026,yacastro,Centro De Contacto,06:00:00,11:00:00,07:30:00
06/01/2026,rolaguilar,Centro De Contacto,06:00:00,11:45:00,07:00:00
06/01/2026,ariasanchez,Vacaciones,06:00:00,11:45:00,08:15:00
06/01/2026,kbennett,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,locerrud,Centro De Contacto,09:00:00,13:00:00,10:30:00
06/01/2026,avelez,Centro De Contacto,09:00:00,13:00:00,10:45:00
06/01/2026,cacedeno,Licencia,09:00:00,13:00:00,10:45:00
06/01/2026,maryherrera,Centro De Contacto,09:00:00,13:00:00,11:00:00
07/01/2026,Zestrada,Centro De Contacto,06:00:00,11:00:00,07:45:00
07/01/2026,aigraell,Centro De Contacto,06:00:00,11:00:00,07:45:00
07/01/2026,gman,Centro De Contacto,06:00:00,11:00:00,07:45:00
07/01/2026,genemoreno,Centro De Contacto,06:00:00,11:00:00,07:45:00
07/01/2026,lilmoreno,Vacaciones,06:00:00,11:00:00,07:45:00
07/01/2026,Yavallejos,Centro De Contacto,06:00:00,11:00:00,07:45:00
07/01/2026,gaflores,Centro De Contacto,06:00:00,11:00:00,07:45:00
07/01/2026,ivnunez,Centro De Contacto,06:00:00,11:00:00,07:45:00
07/01/2026,Melmartinez,Centro De Contacto,06:00:00,11:00:00,07:45:00
07/01/2026,glchanis,Centro De Contacto,06:00:00,11:00:00,07:45:00
07/01/2026,irisgomez,Licencia,06:00:00,11:00:00,07:45:00
07/01/2026,noregonzalez,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,kdominguez,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,Cvillaverde,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,Jearrocha,Traslado,06:00:00,11:35:00,08:05:00
07/01/2026,Jpile,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,erphillips,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,rmontero,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,vimoran,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,vedelacruz,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,Jingonzalez,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,scoke,Centro De Contacto,06:00:00,11:35:00,08:05:00
07/01/2026,Yulrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
07/01/2026,lijuarez,Centro De Contacto,06:00:00,11:45:00,08:25:00
07/01/2026,sarrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
07/01/2026,gisssanchez,Centro De Contacto,06:00:00,11:45:00,08:25:00
07/01/2026,Rubmorales,Vacaciones,06:00:00,11:45:00,08:25:00
07/01/2026,ensandoval,Centro De Contacto,06:00:00,11:45:00,08:25:00
07/01/2026,Ztrejos,Centro De Contacto,06:00:00,11:45:00,08:25:00
07/01/2026,girgonzalez,Centro De Contacto,06:00:00,11:45:00,08:25:00
07/01/2026,arenteria,Centro De Contacto,06:00:00,11:45:00,08:25:00
07/01/2026,julcorrea,Incapacidad Extendida,06:00:00,11:45:00,08:25:00
07/01/2026,lizisaza,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,raycastillero,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,cacollado,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,meljaramillo,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,vplicett,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,danitbatista,Vacaciones,07:00:00,12:25:00,09:15:00
07/01/2026,yarmunoz,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,siolivares,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,xaviles,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,inggomez,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,Bramirez,Centro De Contacto,07:00:00,12:25:00,09:15:00
07/01/2026,yamilgonzalez,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,conavarro,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,Gcoronado,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,dmolino,Vacaciones,09:00:00,13:00:00,10:30:00
07/01/2026,yetienne,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,Nlondono,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,rossantamaria,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,tpolo,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,novilla,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,lmartinez,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,celirodriguez,Vacaciones,09:00:00,13:10:00,10:05:00
07/01/2026,mlorenzo,Vacaciones,09:00:00,13:10:00,10:05:00
07/01/2026,luiquijada,Centro De Contacto,09:00:00,13:10:00,10:05:00
07/01/2026,kdurango,Centro De Contacto,09:00:00,13:10:00,10:05:00
07/01/2026,jbrugiatti,Centro De Contacto,09:00:00,13:10:00,10:05:00
07/01/2026,Eshernandez,Centro De Contacto,09:00:00,13:10:00,10:25:00
07/01/2026,mnoval,Centro De Contacto,09:00:00,13:10:00,10:25:00
07/01/2026,jballis,Centro De Contacto,09:00:00,13:10:00,10:25:00
07/01/2026,gorodriguez,Centro De Contacto,09:00:00,13:10:00,10:25:00
07/01/2026,mereyes,Centro De Contacto,09:00:00,13:10:00,10:25:00
07/01/2026,dancedeno,Vacaciones,06:00:00,12:00:00,08:00:00
07/01/2026,ypineda,Centro De Contacto,06:00:00,11:00:00,07:15:00
07/01/2026,yacastro,Centro De Contacto,06:00:00,11:00:00,07:30:00
07/01/2026,rolaguilar,Centro De Contacto,06:00:00,11:45:00,07:00:00
07/01/2026,ariasanchez,Vacaciones,06:00:00,11:45:00,08:15:00
07/01/2026,kbennett,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,locerrud,Centro De Contacto,09:00:00,13:00:00,10:30:00
07/01/2026,avelez,Centro De Contacto,09:00:00,13:00:00,10:45:00
07/01/2026,cacedeno,Licencia,09:00:00,13:00:00,10:45:00
07/01/2026,maryherrera,Centro De Contacto,09:00:00,13:00:00,11:00:00
08/01/2026,Zestrada,Centro De Contacto,06:00:00,11:00:00,07:45:00
08/01/2026,aigraell,Centro De Contacto,06:00:00,11:00:00,07:45:00
08/01/2026,gman,Centro De Contacto,06:00:00,11:00:00,07:45:00
08/01/2026,genemoreno,Centro De Contacto,06:00:00,11:00:00,07:45:00
08/01/2026,lilmoreno,Vacaciones,06:00:00,11:00:00,07:45:00
08/01/2026,Yavallejos,Centro De Contacto,06:00:00,11:00:00,07:45:00
08/01/2026,gaflores,Centro De Contacto,06:00:00,11:00:00,07:45:00
08/01/2026,ivnunez,Centro De Contacto,06:00:00,11:00:00,07:45:00
08/01/2026,Melmartinez,Centro De Contacto,06:00:00,11:00:00,07:45:00
08/01/2026,glchanis,Centro De Contacto,06:00:00,11:00:00,07:45:00
08/01/2026,irisgomez,Licencia,06:00:00,11:00:00,07:45:00
08/01/2026,noregonzalez,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,kdominguez,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,Cvillaverde,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,Jearrocha,Traslado,06:00:00,11:35:00,08:05:00
08/01/2026,Jpile,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,erphillips,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,rmontero,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,vimoran,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,vedelacruz,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,Jingonzalez,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,scoke,Centro De Contacto,06:00:00,11:35:00,08:05:00
08/01/2026,Yulrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
08/01/2026,lijuarez,Centro De Contacto,06:00:00,11:45:00,08:25:00
08/01/2026,sarrodriguez,Centro De Contacto,06:00:00,11:45:00,08:25:00
08/01/2026,gisssanchez,Centro De Contacto,06:00:00,11:45:00,08:25:00
08/01/2026,Rubmorales,Vacaciones,06:00:00,11:45:00,08:25:00
08/01/2026,ensandoval,Centro De Contacto,06:00:00,11:45:00,08:25:00
08/01/2026,Ztrejos,Centro De Contacto,06:00:00,11:45:00,08:25:00
08/01/2026,girgonzalez,Centro De Contacto,06:00:00,11:45:00,08:25:00
08/01/2026,arenteria,Centro De Contacto,06:00:00,11:45:00,08:25:00
08/01/2026,julcorrea,Incapacidad Extendida,06:00:00,11:45:00,08:25:00
08/01/2026,lizisaza,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,raycastillero,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,cacollado,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,meljaramillo,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,vplicett,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,danitbatista,Vacaciones,07:00:00,12:25:00,09:15:00
08/01/2026,yarmunoz,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,siolivares,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,xaviles,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,inggomez,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,Bramirez,Centro De Contacto,07:00:00,12:25:00,09:15:00
08/01/2026,yamilgonzalez,Centro De Contacto,09:00:00,13:00:00,10:30:00
08/01/2026,conavarro,Centro De Contacto,09:00:00,13:00:00,10:30:00
08/01/2026,Gcoronado,Centro De Contacto,09:00:00,13:00:00,10:30:00
08/01/2026,dmolino,Vacaciones,09:00:00,13:00:00,10:30:00
08/01/2026,yetienne,Centro De Contacto,09:00:00,13:00:00,10:30:00
08/01/2026,Nlondono,Centro De Contacto,09:00:00,13:00:00,10:30:00
08/01/2026,rossantamaria,Centro De Contacto,09:00:00,13:00:00,10:30:00
08/01/2026,tpolo,Centro De Contacto,09:00:00,13:00:00,10:30:00
08/01/2026,novilla,Centro De Contacto,09:00:00,13:00:00,10:30:00
08/01/2026,lmartinez,Centro De Contacto,09:00:00,13:00:00,10:30:00
08/01/2026,celirodriguez,Vacaciones,09:00:00,13:10:00,10:05:00
08/01/2026,mlorenzo,Vacaciones,09:00:00,13:10:00,10:05:00
08/01/2026,luiquijada,Centro De Contacto,09:00:00,13:10:00,10:05:00
08/01/2026,kdurango,Centro De Contacto,09:00:00,13:10:00,10:05:00
08/01/2026,jbrugiatti,Centro De Contacto,09:00:00,13:10:00,10:05:00
08/01/2026,Eshernandez,Centro De Contacto,09:00:00,13:10:00,10:25:00
